Class Name,Member variables (name : type),Methods (signatures),Notes
Ensemble,"ensembleID : String (private final); eName : String (private); musicians : AbstractList<Musician> (private final)","Ensemble(String eID); String getEnsembleID(); String getName(); void setName(String name); void addMusician(Musician m); void dropMusician(Musician m); Iterator<Musician> getMusicians(); abstract void updateMusicianRole(); abstract void showEnsemble()","Abstract base class; full implementations present in file."
OrchestraEnsemble,"VIOLINIST_ROLE : int (private final); CELLIST_ROLE : int (private final)","OrchestraEnsemble(String eID); void updateMusicianRole(); void showEnsemble()","extends Ensemble; method bodies partially omitted in attachment (implementation omitted comments)."
JazzBandEnsemble,"PIANIST_ROLE : int (private final); SAXOPHONIST_ROLE : int (private final); DRUMMER_ROLE : int (private final)","JazzBandEnsemble(String eID); void updateMusicianRole(); void showEnsemble()","extends Ensemble; method bodies partially omitted in attachment."
OrchestraFactory,"ROLES : int[] (private final); ROLE_NAMES : Map<Integer,String> (private final)","OrchestraFactory(); Ensemble creatEnsemble(String id); Musician createMusician(String id); boolean isValidRole(int role); String getRoleName(int role); String showRoleName(); int[] getAllRoles(); String getEnsembleType(); void showEnsembleInfo(Ensemble ensemble)","Implements EnsembleFactory; implementations present but some inner lines omitted."
JazzBandFactory,"ROLES : int[] (private final); ROLE_NAMES : Map<Integer,String> (private final)","JazzBandFactory(); Ensemble creatEnsemble(String id); Musician createMusician(String id); boolean isValidRole(int role); String getRoleName(int role); String showRoleName(); int[] getAllRoles(); String getEnsembleType(); void showEnsembleInfo(Ensemble ensemble)","Implements EnsembleFactory; content partially omitted."
Command,"(none)","void execute(); void undo(); String description(); default Ensemble getEnsemble()","Interface for commands."
ComSetEnsemble,"foundEnsemble : Ensemble (private); previousEnsemble : Ensemble (private)","ComSetEnsemble(Ensemble previousEnsemble, Ensemble foundEnsemble); void execute(); void undo(); String description(); Ensemble getEnsemble()","Command to change current ensemble; execute/undo print messages."
Manager,"ensembles : List<Ensemble> (private final); currentEnsemble : Ensemble (private); commandFactory : CommandFactory (private final); caretaker : Caretaker (private); factory : EnsembleFactory (private); commandRegistry : CommandRegistry (private); recordableIds : Set<String> (private final)","Manager(); static void main(String[] args); void chooseFunction(); (private) void syncCurrentEnsembleFromHistory(); Command handleCreateEnsemble(Scanner); Command handleAddMusician(Scanner); void handleShowEnsemble(); void handleSetEnsemble(Scanner); Command handleModifyMusician(Scanner); Command handleDeleteMusician(Scanner); Command handleChangeEnsembleName(Scanner)","File summarized in attachment; method bodies omitted in summary."
CommandRegistry,"comID : String (private); comName : String (private); comHandle : Command (private); handlerMap : Map<String,Function<Scanner,Command>> (private final); IDNameMap : Map<String,String> (private final)","CommandRegistry(); void registerHandler(String, Function<Scanner,Command>); Function<Scanner,Command> getHandler(String); void setComID(String); String getComID(); void setComName(String); String getComName(); void setComHandle(Command); Command getComHandle(); String getCommandMenu(); String getCommandIDPrompt()","getCommandMenu / getCommandIDPrompt implementations omitted in summary."
EnsembleFactoryRegistry,"registry : Map<Class<? extends Ensemble>, EnsembleFactory> (private static final); keyRegistry : Map<String, EnsembleFactory> (private static final)","static initializer block; static EnsembleFactory getFactory(Ensemble ensemble); static EnsembleFactory getFactoryByKey(String key); static void registerFactory(String key, EnsembleFactory factory); static Set<String> getAvailableKeys()","Registry of factories; contains pre-registered keys "o" and "j"."
